user_id,job_id,interaction_score
user_1,job_101,1
user_1,job_6,2
user_1,job_84,3
user_1,job_100,3
user_1,job_42,3
user_1,job_105,1
user_1,job_10,2
user_1,job_29,4
user_1,job_24,5
user_1,job_41,4
user_1,job_11,2
user_1,job_8,3
user_1,job_92,4
user_1,job_20,1
user_1,job_25,1
user_1,job_35,1
user_1,job_62,3
user_1,job_55,1
user_1,job_104,3
user_1,job_102,1
user_1,job_74,1
user_1,job_85,1
user_1,job_9,1
user_1,job_98,1
user_2,job_27,1
user_2,job_88,2
user_2,job_95,4
user_2,job_73,1
user_2,job_46,3
user_2,job_105,1
user_2,job_22,1
user_2,job_65,2
user_2,job_72,1
user_2,job_69,2
user_2,job_40,3
user_2,job_36,4
user_2,job_96,1
user_2,job_26,4
user_2,job_31,2
user_2,job_81,2
user_2,job_37,3
user_2,job_6,3
user_2,job_64,1
user_2,job_61,2
user_3,job_42,1
user_3,job_10,1
user_3,job_32,2
user_3,job_63,2
user_3,job_3,1
user_3,job_9,2
user_3,job_33,2
user_3,job_5,2
user_3,job_38,2
user_3,job_54,2
user_3,job_28,1
user_3,job_44,2
user_3,job_101,3
user_3,job_90,1
user_3,job_7,1
user_3,job_64,1
user_3,job_60,2
user_3,job_79,5
user_3,job_102,5
user_3,job_106,1
user_4,job_45,1
user_4,job_7,1
user_4,job_29,1
user_4,job_31,5
user_4,job_69,1
user_4,job_14,5
user_4,job_70,5
user_4,job_26,1
user_4,job_17,1
user_4,job_27,2
user_4,job_13,2
user_4,job_58,5
user_4,job_28,2
user_4,job_16,2
user_4,job_86,1
user_4,job_40,5
user_4,job_90,5
user_4,job_34,1
user_4,job_89,1
user_4,job_3,1
user_4,job_6,3
user_4,job_56,1
user_5,job_97,5
user_5,job_91,3
user_5,job_33,2
user_5,job_68,5
user_5,job_60,3
user_5,job_21,2
user_5,job_77,2
user_5,job_56,1
user_5,job_63,4
user_5,job_50,1
user_5,job_95,4
user_5,job_36,3
user_5,job_87,1
user_5,job_90,2
user_5,job_104,3
user_5,job_88,1
user_5,job_101,1
user_5,job_55,1
user_5,job_62,5
user_5,job_1,4
user_5,job_106,1
